ID;SEX;BM;AREA_TYPE;AREA;YEAR;order;repeatability;surv;reprod;age;SHYNESS4;EXPLORATION4;ACTIVITY4.oft;SOCIABILITY3;AVOIDANCE3;OTHER3.mis;ALERT3
5016;M;265;RED;VAL;2017;4;Y;#N/A;#N/A;#N/A;0.875047433;0.107928956;0.468408654;0.071860985;0.810223262;0.31633346;0.348498653
5018;F;325;RED;VAL;2016;1;N;1;1;2;0.708780317;0.290768307;0.639298916;0;0.694222561;0.500117965;0.505415392
5029;M;285;RED;FRA;2016;1;Y;1;#N/A;3;0.840897001;0.233832281;0.430283916;0;0.895553207;0.17786472;0.395671116
5029;M;290;RED;FRA;2016;2;Y;#N/A;#N/A;#N/A;0.74532564;0.208175428;0.479302341;0;0.937536513;0.228889032;0.236883718
5029;M;295;RED;FRA;2017;3;Y;0;#N/A;3;0.592357599;0.199272707;0.7420554;0.194815081;0.727078566;0.557635986;0.341709086
5030;M;310;RED;FRA;2016;1;Y;1;#N/A;3;0.630275032;0.228607325;0.686764271;0.154387121;0.662347434;0.596644598;0.390823646
5030;M;290;RED;FRA;2016;2;Y;#N/A;#N/A;#N/A;0.848032733;0.167380217;0.420747953;0.169204098;0.801337198;0.393058284;0.410302391
5030;M;310;RED;FRA;2017;3;Y;1;#N/A;3;0.70614022;0.279262668;0.639375502;0.737216545;0.112753862;0.651198391;0.083818583
5030;M;310;RED;FRA;2017;4;Y;#N/A;#N/A;#N/A;0.739012421;0.247955101;0.624726861;0.886488563;0.064180779;0.453767604;0
5040;M;295;RED;BOR;2016;1;Y;1;#N/A;3;0.750017546;0.209797106;0.626467162;0;0.838886532;0.144492605;0.51604201
5040;M;300;RED;BOR;2016;2;Y;#N/A;#N/A;#N/A;0.875894847;0.100395732;0.470442352;0.942476353;0;0;0.307875004
5040;M;290;RED;BOR;2017;3;Y;1;#N/A;3;0.864606928;0.173396155;0.469424676;0;0.885192872;0.326743946;0.322380205
5042;F;305;RED;FRA;2017;1;N;1;0;2;0.289551193;0.208610928;0.93185207;0.183497261;0.129289285;0.968770592;0.083131428
5051;M;325;RED-GREY;C03-17;2016;1;Y;1;#N/A;2;0.893087371;0.152998325;0.421919116;0.292000423;0.788171314;0.380119587;0.372873081
5051;M;340;RED-GREY;C03-17;2017;2;Y;0;#N/A;2;0.908950174;0.108966141;0.364397715;0.124726437;0.928531437;0.287494626;0.184773035
5079;M;260;RED;VAL;2016;1;N;0;#N/A;1;0.854786538;0.150184611;0.495576112;0;0.975558085;0;0.183996237
5081;M;275;RED;BOR;2016;1;N;0;#N/A;1;0.77860133;0.165968075;0.586149323;0;0.924384748;0.225781787;0.297232076
5089;M;295;RED;BOR;2016;1;Y;1;#N/A;3;0.463799218;0.377916005;0.78459513;0.086195011;0.705892943;0.391319532;0.510841305
5089;M;305;RED;BOR;2016;2;Y;#N/A;#N/A;#N/A;0.890937471;0.168980659;0.418947907;0.117784806;0.826784229;0.169837077;0.514304683
5089;M;310;RED;BOR;2017;3;Y;1;#N/A;3;0.497285545;0.464341849;0.728748529;0.08661815;0.183879895;0.551729672;0.800005102
5089;M;260;RED;BOR;2017;4;Y;#N/A;#N/A;#N/A;0.929641472;0.080034897;0.336701666;0.107019828;0.897034967;0.350732757;0.13563102
5090;M;295;RED;VAL;2016;1;N;1;#N/A;2;0.769178343;0.202878854;0.603289552;0;0.884496772;0.212464059;0.409066322
