number,Plant_ID,Flower_ID,Date_collected,Date_plated,Replicate,Nectar_cm,Nectar_mm,Nectar_vol,Stigma_closed,Fcfu1,Fcfu2,Fcfu3,Fcfu4,Fcfu5,Fcfu6,F_nontarget,Fcfu_avg,FCFU_total,FCFU_ul,log(FCFU+1),Bcfu1,Bcfu2,Bcfu3,Bcfu4,Bcfu5,Bcfu6,Bcfu_avg,BCFU_total,BCFUul,log(BCFU+1),,,,,,,,,,
97,SG1,97,6/24/15,6/25/15,1,0.4,4,0.484261501,yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
98,SG1,98,6/24/15,6/25/15,2,0.3,3,0.363196126,yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
99,SG1,99,6/24/15,6/25/15,3,0.9,9,1.089588378,yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
100,SG1,100,6/24/15,6/25/15,4,0.5,5,0.605326877,yes,0,0,0,0,0,0,NA,0,0,0,0,3,3,1,,,,2.333333333,7,3248.60486,3.511830556,,,,,,,,,,
101,SG1,101,6/24/15,6/25/15,5,0.2,2,0.242130751,yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
102,SG1 ,102,6/24/15,6/25/15,6,0.5,5,0.605326877,yes,0,0,0,0,0,0,NA,0,0,0,0,10000,0,,,,,5000,10000,4640864.086,6.666598943,,,,,,,,,,
103,SG1,103,6/24/15,6/25/15,7,2.8,28,3.389830508,yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
104,SG1,104,6/24/15,6/25/15,8,0.3,3,0.363196126,yes,7,0,0,0,0,0,NA,1.166666667,0.423728814,10.76500229,1.070592016,9,1,,,,,5,10,7614.761476,3.881713334,,,,,,,,,,
105,SG2,105,6/24/15,6/25/15,1,0.9,9,1.089588378,yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
106,SG2,106,6/24/15,6/25/15,2,0.3,3,0.363196126,No,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
107,SG2,107,6/24/15,6/25/15,3,0.3,3,0.363196126,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
108,SG2,108,6/24/15,6/25/15,4,0.2,2,0.242130751,No,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
109,SG2,109,6/24/15,6/25/15,5,0.1,1,0.121065375,No,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
110,SG2,110,6/24/15,6/25/15,6,0.1,1,0.121065375,No,3,0,0,0,0,0,NA,0.5,0.060532688,4.540860473,0.743577214,0,0,,,,,0,0,0,0,,,,,,,,,,
111,SG2,111,6/24/15,6/25/15,7,2.1,21,2.542372881,No,1,0,0,0,0,0,NA,0.166666667,0.423728814,1.755993281,0.440278155,0,0,,,,,0,0,0,0,,,,,,,,,,
112,SG2,112,6/24/15,6/25/15,8,0.4,4,0.484261501,No,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
113,SG3,113,6/24/15,6/25/15,1,0.1,1,0.121065375,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
114,SG3,114,6/24/15,6/25/15,2,0.3,3,0.363196126,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
115,SG3,115,6/24/15,6/25/15,3,1.9,19,2.300242131,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
116,SG3,116,6/24/15,6/25/15,4,0.3,3,0.363196126,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
117,SG3,117,6/24/15,6/25/15,5,0.2,2,0.242130751,No,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
118,SG3,118,6/24/15,6/25/15,6,1.7,17,2.05811138,No,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
119,SG3,119,6/24/15,6/25/15,7,0.5,5,0.605326877,No,4,0,0,0,0,0,NA,0.666666667,0.403551251,6.24837913,0.860240901,0,0,,,,,0,0,0,0,,,,,,,,,,
120,SG3,120,6/24/15,6/25/15,8,0.3,3,0.363196126,No,0,0,0,0,0,0,NA,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,
121,SG4,121,6/24/15,6/25/15,1,0.5,5,0.605326877,Yes,3,0,0,0,0,0,NA,0.5,0.302663438,4.686284347,0.754828573,0,0,,,,,0,0,0,0,,,,,,,,,,
122,SG4,122,6/24/15,6/25/15,2,0.2,2,0.242130751,Yes,0,0,0,0,0,0,NA,0,0,0,0,2,1,,,,,1.5,3,3399.639964,3.531560654,,,,,,,,,,
